dateStr=2015-12-24;timeStr=19:06:13;seconds=3533828773.199000;fileVersion=20151224;numObjects=1343;numSessions=6;
masterIdx,map,session,spineMapRow,segmentMapRow,Idx,roiType,roiTypeNum,x,y,z,channel,groupID,parentID,cPnt,sDist,pDist,cAuto,cAngle,cLine,cLineNum,cx,cy,cz,cDate,cTime,mDate,mTime,cSeconds,mSeconds,userName,note,edgeList,isDirty,isBad,dynBad,intBad,progType,madeFrom,analParam,analResult1,analResult2,analResult3,analResult4,user1,user2,user3,userBool1,userBool2,userBool3,userType,bSpineMap,bSpineIdx,error,warning,idx_ch1,x_ch1,y_ch1,z_ch1,sLen2d_ch1,sLen3d_ch1,intmSeconds_ch1,isDirty_ch1,intBad_ch1,intManual_ch1,spineWidth_ch1,extendHead_ch1,extendTail_ch1,scaleRadius_ch1,zPlusMinus_ch1,sSum_ch1,sMean_ch1,sSD_ch1,sN_ch1,sbSum_ch1,sbMean_ch1,sbSD_ch1,sbN_ch1,sbxyManual_ch1,sbxPos_ch1,sbyPos_ch1,dSum_ch1,dMean_ch1,dSD_ch1,dN_ch1,dPlus_ch1,dMinus_ch1,dbSum_ch1,dbMean_ch1,dbSD_ch1,dbN_ch1,ubssSum_ch1,ubssMean_ch1,ubsdSum_ch1,ubsdMean_ch1,idx_ch2,x_ch2,y_ch2,z_ch2,sLen2d_ch2,sLen3d_ch2,intmSeconds_ch2,isDirty_ch2,intBad_ch2,intManual_ch2,spineWidth_ch2,extendHead_ch2,extendTail_ch2,scaleRadius_ch2,zPlusMinus_ch2,sSum_ch2,sMean_ch2,sSD_ch2,sN_ch2,sbSum_ch2,sbMean_ch2,sbSD_ch2,sbN_ch2,sbxyManual_ch2,sbxPos_ch2,sbyPos_ch2,dSum_ch2,dMean_ch2,dSD_ch2,dN_ch2,dPlus_ch2,dMinus_ch2,dbSum_ch2,dbMean_ch2,dbSD_ch2,dbN_ch2,ubssSum_ch2,ubssMean_ch2,ubsdSum_ch2,ubsdMean_ch2,
10,rr49c,0,10,0,10,controlPnt,2,42.214,100.72,31,1,,0,360,49.836,-27.585,,,center,0,42.24,100.68,31,2015-10-17,18:00:24,2015-10-17,18:00:24,3527949624.180000,3527949624.180000,Nancy Luo,,,,,,,,0,,,,,,,,,,,,,,,,,10.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,10.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
11,rr49c,0,11,0,11,controlPnt,2,46.803,97.234,34,1,,0,401,55.978,-21.443,,,center,0,46.8,97.2,34,2015-10-17,18:00:27,2015-10-17,18:00:27,3527949627.160000,3527949627.160000,Nancy Luo,,,,,,,,0,,,,,,,,,,,,,,,,,11.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,11.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
12,rr49c,0,12,0,12,controlPnt,2,50.934,96.316,34,1,,0,436,60.605,-16.816,,,center,0,50.88,96.36,34,2015-10-17,18:00:29,2015-10-17,18:00:29,3527949629.698000,3527949629.698000,Nancy Luo,,,,,,,,0,,,,,,,,,,,,,,,,,12.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,12.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
13,rr49c,0,13,0,13,controlPnt,2,54.33,92.645,34,1,,0,471,65.978,-11.444,,,center,0,54.36,92.64,34,2015-10-17,18:00:30,2015-10-17,18:00:30,3527949630.547000,3527949630.547000,Nancy Luo,,,,,,,,0,,,,,,,,,,,,,,,,,13.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,13.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
14,rr49c,0,14,0,14,controlPnt,2,57.91,88.973,33,1,,0,508,71.54,-5.8815,,,center,0,57.96,88.92,33,2015-10-17,18:00:33,2015-10-17,18:00:33,3527949633.220000,3527949633.220000,Nancy Luo,,,,,,,,0,,,,,,,,,,,,,,,,,14.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,14.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
15,rr49c,0,15,0,15,controlPnt,2,61.215,84.016,33,1,,0,551,78.071,0.64971,,,center,0,61.2,84,33,2015-10-17,18:00:34,2015-10-17,18:00:34,3527949634.057000,3527949634.057000,Nancy Luo,,,,,,,,0,,,,,,,,,,,,,,,,,15.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,15.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
16,rr49c,0,16,0,16,controlPnt,2,63.877,80.62,30,1,,0,588,83.187,5.765,,,center,0,63.84,80.64,30,2015-10-17,18:00:39,2015-10-17,18:00:39,3527949639.214000,3527949639.214000,Nancy Luo,,,,,,,,0,,,,,,,,,,,,,,,,,16.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,16.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
17,rr49c,0,17,0,17,controlPnt,2,66.631,76.214,30,1,,0,630,89.051,11.629,,,center,0,66.6,76.2,30,2015-10-17,18:00:40,2015-10-17,18:00:40,3527949640.054000,3527949640.054000,Nancy Luo,,,,,,,,0,,,,,,,,,,,,,,,,,17.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,17.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
18,rr49c,0,18,0,18,controlPnt,2,70.137,73.68,32,1,,0,661,93.645,16.224,,,center,0,70.08,73.68,32,2015-10-17,18:00:44,2015-10-17,18:00:44,3527949644.048000,3527949644.048000,Nancy Luo,,,,,,,,0,,,,,,,,,,,,,,,,,18.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,18.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
19,rr49c,0,19,0,19,controlPnt,2,74.818,70.559,35,1,,0,701,99.717,22.295,,,center,0,74.76,70.56,35,2015-10-17,18:00:46,2015-10-17,18:00:46,3527949646.434000,3527949646.434000,Nancy Luo,,,,,,,,0,,,,,,,,,,,,,,,,,19.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,19.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
20,rr49c,0,20,0,20,controlPnt,2,81.06,70.376,37,1,,0,755,106.77,29.351,,,center,0,81.12,70.32,37,2015-10-17,18:00:48,2015-10-17,18:00:48,3527949648.494000,3527949648.494000,Nancy Luo,,,,,,,,0,,,,,,,,,,,,,,,,,20.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,20.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
21,rr49c,0,21,0,21,controlPnt,2,85.007,70.192,38,1,,0,788,110.96,33.539,,,center,0,84.96,70.2,38,2015-10-17,18:00:51,2015-10-17,18:00:51,3527949651.068000,3527949651.068000,Nancy Luo,,,,,,,,0,,,,,,,,,,,,,,,,,21.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,21.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
22,rr49c,0,22,0,22,controlPnt,2,88.863,70.835,40,1,,0,822,115.27,37.847,,,center,0,88.92,70.8,40,2015-10-17,18:00:52,2015-10-17,18:00:52,3527949652.674000,3527949652.674000,Nancy Luo,,,,,,,,0,,,,,,,,,,,,,,,,,22.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,22.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
23,rr49c,0,23,0,23,controlPnt,2,93.452,69.917,42,1,,0,861,120.38,42.954,,,center,0,93.48,69.96,42,2015-10-17,18:00:54,2015-10-17,18:00:54,3527949654.941000,3527949654.941000,Nancy Luo,,,,,,,,0,,,,,,,,,,,,,,,,,23.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,23.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
24,rr49c,0,24,0,24,controlPnt,2,97.381,69.917,43,1,,0,896,124.83,47.411,,,center,0,97.44,69.96,43,2015-10-17,18:01:01,2015-10-17,18:01:01,3527949661.056000,3527949661.056000,Nancy Luo,,,,,,,,0,,,,,,,,,,,,,,,,,24.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,24.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
25,rr49c,0,25,0,25,controlPnt,2,102.25,70.926,46,1,,0,937,130.33,52.907,,,center,0,102.24,70.92,46,2015-10-17,18:01:02,2015-10-17,18:01:02,3527949662.488000,3527949662.488000,Nancy Luo,,,,,,,,0,,,,,,,,,,,,,,,,,25.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,25.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
26,rr49c,0,26,0,26,controlPnt,2,105.83,70.559,46,1,,0,968,134.18,56.755,,,center,0,105.84,70.56,46,2015-10-17,18:01:03,2015-10-17,18:01:03,3527949663.346000,3527949663.346000,Nancy Luo,,,,,,,,0,,,,,,,,,,,,,,,,,26.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,26.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
27,rr49c,0,27,0,27,controlPnt,2,109.31,72.487,49,1,,0,1000,138.69,61.271,,,center,0,109.32,72.48,49,2015-10-17,18:01:05,2015-10-17,18:01:05,3527949665.116000,3527949665.116000,Nancy Luo,,,,,,,,0,,,,,,,,,,,,,,,,,27.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,27.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
28,rr49c,0,28,0,28,controlPnt,2,112.42,73.374,49,1,,0,1027,142.16,64.739,,,center,0,112.44,73.32,49,2015-10-17,18:01:24,2015-10-17,18:01:24,3527949684.607000,3527949684.607000,Nancy Luo,,,,,,,,0,,,,,,,,,,,,,,,,,28.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,28.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
29,rr49c,0,29,1,29,pivotPnt,3,56.52,51.96,37,1,,1,1473,,0,,,,,,,,2015-10-17,18:23:32,2015-10-21,11:59:00,3527951012.193000,3528273540.558000,Nancy Luo,,,,,,,,,,,,,,,,,,,,,,,,,29.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,29.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
30,rr49c,0,30,1,30,controlPnt,2,4.5235,40.304,9,1,,1,1028,0,-59.747,,,center,0,4.56,40.32,9,2015-10-17,18:23:39,2015-10-17,18:23:39,3527951019.900000,3527951019.900000,Nancy Luo,,,,,,,,0,,,,,,,,,,,,,,,,,30.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,30.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
